go: downloading github.com/prometheus/client_golang v1.23.2
go: downloading github.com/prometheus/client_model v0.6.2
go: downloading github.com/stretchr/testify v1.11.1
go: downloading google.golang.org/protobuf v1.36.8
go: downloading github.com/davecgh/go-spew v1.1.1
go: downloading github.com/pmezard/go-difflib v1.0.0
go: downloading gopkg.in/yaml.v3 v3.0.1
go: downloading github.com/prometheus/common v0.66.1
go: downloading github.com/beorn7/perks v1.0.1
go: downloading github.com/cespare/xxhash/v2 v2.3.0
go: downloading github.com/prometheus/procfs v0.16.1
go: downloading github.com/munnerz/goautoneg v0.0.0-20191010083416-a7dc8b61c822
go: downloading go.yaml.in/yaml/v2 v2.4.2
go: downloading golang.org/x/sys v0.35.0
goos: linux
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
BenchmarkMinMaxContention/g=50/order=steady/record-padded-8         	21670755	       103.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-8             	18209271	        80.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-8             	18198274	        81.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-8             	20600263	        79.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-8             	21652948	       101.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-8             	21542937	        82.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-8             	16976269	        80.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-8             	20075672	        83.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-8             	20875950	        86.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-8      	11409374	        93.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-8      	12362994	        83.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-8      	12885217	        95.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-8      	12790713	        89.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-8      	11892913	        86.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-8      	11748103	        96.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-8      	13112509	        87.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-minmax-8      	14759407	        88.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-8      	19279108	        96.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-8      	20279416	        88.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-8      	19831020	        83.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-8      	19125096	        95.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-8      	17376006	        83.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-8      	18551047	        84.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-8      	19180498	        83.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=ascending/record-padded-8      	20414865	        86.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-8            	20183690	        81.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-8            	19224519	        81.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-8            	21444002	        81.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-8            	21048644	        80.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-8            	19723640	        92.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-8            	21084867	        94.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-8            	21565056	        81.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-8            	21348560	        89.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-8     	13520998	        92.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-8     	11565877	       103.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=50/order=descending/record-minmax-8     	14227152	        94.17 ns/op	       0 B/op	       0 allocs/op
