goos: darwin
goarch: arm64
pkg: github.com/cockroachdb/goodhistogram
cpu: Apple M3 Pro
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-11     	26931757	        51.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-11     	41623249	        56.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-11     	21241663	        60.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-11     	17446033	        61.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-11     	18439150	        62.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-11     	21439482	        46.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-11     	20566506	        63.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=ascending/record-padded-11     	17693307	        60.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-11           	23835435	        49.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-11           	20992921	        48.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-11           	34960832	        45.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-11           	25232546	        52.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-11           	98548794	        36.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-11           	39520406	        36.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-11           	36336297	        34.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-11           	41697181	        33.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-11    	36834213	        35.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-11    	40419678	        36.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-11    	35762732	        41.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-11    	35004296	        42.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-11    	39146953	        33.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-11    	33612414	        39.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-11    	29431605	        36.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-minmax-11    	30273306	        37.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-padded-11    	34091323	        45.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-padded-11    	18710580	        57.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-padded-11    	22605084	        70.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-padded-11    	18401850	        66.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-padded-11    	22052343	        56.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-padded-11    	22317710	        62.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-padded-11    	19007166	        64.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkMinMaxContention/g=100/order=descending/record-padded-11    	16773968	        65.19 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/cockroachdb/goodhistogram	379.416s
